nom;details;adresse;ville;longitude;latitude
LES 36 CHANDELLES;Restaurant traditionnel;3 RUE DE L EGLISE;35120 ROZ LANDRIEUX;-1.8142863479996;48.543632519
LES BETISES;Restaurant de spécialités;25 RUE SAINT MELAINE;35000 RENNES;-1.6766244829996;48.114905017
LES CAP HORNIERS;Brasserie;1 ESP DU COMMANDANT MENGUY;35400 ST MALO;-2.0235486062958;48.635313442149
LES CHAMPS DE ROZ;Pension de famille / maison familiale;8 GRANDE RUE;35120 ROZ LANDRIEUX;-1.8190325167926;48.531489789342
LES COMMERCES SAINT-MICHEL;Restaurant traditionnel;l' Hôpital;35610 ROZ SUR COUESNON;-1.597684;48.593656
LES COMPTOIRS CASINO;Self-service, cafétéria (sur place);RUE DU BOSPHORE;35200 RENNES;-1.6768831;48.0836943
LES DÉLICES DES ROCHERS;Restaurant traditionnel;LIEU DIT LES ROCHERS;35500 VITRE;-1.1673798989996;48.077274936
LES GRANDS GAMINS;Restaurant traditionnel;40 MAIL FRANCOIS MITTERRAND;35000 RENNES;-1.6896062259996;48.109667111
LES MARCHES DU MONT;Chambre d'hôtes;GUIBOREL;35460 ST OUEN LA ROUERIE;-1.4317745257929;48.434184925122
LES PECHEURS;Restaurant de spécialités;45-47 AVENUE JEAN JANVIER;35000 RENNES;-1.6728041426511;48.105467779907
LES PETITS POTINS;Restaurant traditionnel;4 R du Chanoine de Rossignol;35150 JANZE;-1.4975801;47.9606811
LES SAVEURS DE NICOLAS;Restaurant traditionnel;19 place de l'église;35410 NOUVOITOU;-1.5470802;48.0416974
LOCATION SAISONNIÈRE LE MOINS RELOU;Restaurant traditionnel;773 BOULEVARD DE SAINT CAST;35800 ST LUNAIRE;-2.1207522572855;48.634086101304
LOCATIONS SAISONNIERES DELENTE;Chambre d'hôtes;25 RUE DE PONTORSON;35560 ANTRAIN;-1.4835717067919;48.461565487391
LOCO-LOCA;Restaurant traditionnel;17, rue Lanjuinais;35000 RENNES;-1.6819399744647;48.10876
LUCKY STAR;Restaurant traditionnel;21 RUE DE REDON;35000 RENNES;-1.6908645174851;48.105132915344
MAIS Y'A QUOI?;Restaurant traditionnel;13 Rue Abbé Chapdeleine;35270 MEILLAC;-1.8120878;48.4116139
MAMMA VESPA;Restaurant traditionnel;21 RUE HOCHE;35000 RENNES;-1.6773126335045;48.114765031364
MC DONALD'S;Fast-food;LIEU DIT LA BASSE PILAIS;35133 LECOUSSE;-1.217228;48.366141
MC DONALD'S;Fast-food;LIEU DIT TEILLAY;35150 JANZE;-1.5339432519996;47.971791546
MC DONALD'S;Fast-food;19 PLACE DE LA GARE;35000 RENNES;-1.6717485123492;48.103727605603
MIAMATHEQUE;Restaurant traditionnel;31 RUE NICOLAS BOUVIER;35400 ST MALO;-2.0066411147139;48.647400735269
MMV RESIDENCES LE DOMAINE DU MONT;Résidence Hôtelière de Tourisme;ROUTE DE LA BAIE L'HOPITAL;35610 ROZ SUR COUESNON;-1.59797;48.59395
MOD KOZ;Brasserie;3 B RUE JEAN MARIE DUHAMEL;35000 RENNES;-1.6733144909996;48.108817137
MOULARD D'OGUST;Brasserie;01 AVENUE DE LA FLAUDAIE;35400 ST MALO;-1.9956062663736;48.624523830148
